,,Main ball1,Main ball2,Main ball3,Main ball4,Main ball5,Mega ball
,2023-06-09,3,19,53,60,68,13
,2023-06-06,6,12,23,29,57,4
,2023-06-02,3,16,19,36,60,25
,2023-05-30,13,16,40,64,68,21
,2023-05-26,12,20,37,41,64,1
,2023-05-23,3,10,22,65,66,19
,2023-05-19,5,11,41,44,55,14
,2023-05-16,15,34,36,69,70,17
,2023-05-12,1,2,23,40,45,15
,2023-05-09,4,37,46,48,51,19
,2023-05-05,16,18,28,42,43,11
,2023-05-02,3,15,16,32,41,9
,2023-04-28,18,38,53,62,64,20
,2023-04-25,8,29,46,47,48,12
,2023-04-21,3,21,29,46,63,9
,2023-04-18,7,9,15,19,25,4
,2023-04-14,23,27,41,48,51,22
,2023-04-11,31,35,53,54,55,24
,2023-04-07,12,32,49,51,66,21
,2023-04-04,1,37,45,62,64,4
,2023-03-31,16,26,27,42,61,23
,2023-03-28,2,3,18,32,68,24
,2023-03-24,14,17,33,42,66,15
,2023-03-21,1,21,25,27,40,11
,2023-03-17,26,28,29,39,49,25
,2023-03-14,1,7,23,38,55,2
,2023-03-10,9,20,59,60,63,5
,2023-03-07,15,22,25,28,69,21
,2023-03-03,8,25,36,39,67,11
,2023-02-28,14,16,40,52,59,13
,2023-02-24,2,22,49,65,67,7
,2023-02-21,2,15,30,36,63,24
,2023-02-17,2,33,38,57,70,13
,2023-02-14,23,24,35,40,43,1
,2023-02-10,20,29,30,52,58,19
,2023-02-07,9,15,46,55,57,4
,2023-02-03,1,4,50,54,59,17
,2023-01-31,7,9,18,29,39,13
,2023-01-27,4,43,46,47,61,22
,2023-01-24,33,41,47,50,62,20
,2023-01-20,20,29,31,64,66,17
,2023-01-17,2,12,18,24,39,18
,2023-01-13,30,43,45,46,61,14
,2023-01-10,7,13,14,15,18,9
,2023-01-06,3,20,46,59,63,13
,2023-01-03,25,29,33,41,44,18
2022,2022-12-30,1,3,6,44,51,7
,2022-12-27,9,13,36,59,61,11
,2022-12-23,15,21,32,38,62,8
,2022-12-20,3,4,33,36,52,17
,2022-12-16,8,35,40,53,56,11
,2022-12-13,14,22,48,58,68,6
,2022-12-09,8,19,53,61,69,19
